checked_at,asin,keyword,domain,position,organic_position,page,sponsored,title,price,rating
2026-08-26T02:19:07+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-08-26T02:19:07+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-08-27T10:45:33+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-08-27T10:45:33+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-08-28T12:22:46+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-08-28T12:22:46+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-08-29T07:32:28+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-08-29T07:32:28+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-08-30T06:05:16+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-08-30T06:05:16+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-08-31T06:24:58+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-08-31T06:24:58+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-01T05:52:38+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-01T05:52:38+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-02T05:15:19+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-02T05:15:19+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-03T05:21:31+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-03T05:21:31+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-04T05:14:12+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-04T05:14:12+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-05T05:03:35+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-05T05:03:35+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
